fips,count,avgScore
20145,11,0.25
20147,12,0.25
20149,74,0.29
20151,21,0.36
20153,4,0.47
20155,173,0.27
20157,10,0.4
20159,39,0.34
20161,1167,0.28
20163,6,0.48
20165,8,0.46
20167,19,0.28
20169,639,0.33
20171,10,0.2
20173,2978,0.26
20175,68,0.23
20177,1202,0.25
20179,4,-0.35
20181,23,0.49
20185,13,0.36
20187,10,0.24
20189,9,0.19
20191,143,0.3
20193,47,0.35
20195,6,0.55
20197,20,0.39
20199,1,-0.25
20201,11,0.5
20203,5,0.32
20205,9,0.35
20207,6,0.45
20209,883,0.19
21001,156,0.41
21003,42,0.35
21005,96,0.28
21007,37,0.34
21009,130,0.33
21011,41,0.35
21013,52,0.29
21015,1203,0.29
21017,78,0.36
21019,212,0.33
21021,296,0.25
21023,36,0.41
21025,33,0.49
21027,51,0.3
21029,447,0.34
21031,19,0.39
21033,26,0.2
21035,329,0.26
21037,1070,0.33
21039,9,0.22
21041,30,0.24
21043,96,0.34
21045,43,0.46
21047,282,0.21
21049,157,0.31
21051,53,0.4
21053,16,0.4
21055,17,0.23
21057,11,0.45
21059,615,0.33
21061,12,0.34
21063,9,0.42
21065,40,0.19
21067,4995,0.25
21069,46,0.4
21071,97,0.35
21073,269,0.28
21075,13,0.35
21077,27,0.27
21079,75,0.27
21081,127,0.35
21083,132,0.37
21085,68,0.36
21087,21,0.33
21089,123,0.28
21091,41,0.35
21093,660,0.25
21095,79,0.39
21097,45,0.25
21099,23,0.25
21101,257,0.29
21103,157,0.31
21105,6,0.19
21107,210,0.2
21109,27,0.37
21111,10846,0.24
21113,324,0.31
21115,65,0.37
21117,1653,0.3
21119,35,0.33
21121,73,0.37
21123,28,0.46
21125,138,0.38
21127,36,0.28
21129,13,0.41
21131,32,0.38
21133,56,0.36
21135,36,0.28
21137,62,0.28
21139,22,0.28
21141,57,0.18
21143,19,0.44
21145,457,0.31
21147,25,0.6
21149,37,0.41
21151,985,0.27
21153,32,0.4
21155,62,0.42
21157,98,0.32
21159,20,0.41
21161,76,0.37
21163,72,0.29
21165,19,0.44
21167,128,0.27
21169,31,0.21
21171,17,0.14
21173,141,0.34
21175,29,0.44
21177,64,0.42
21179,172,0.3
21181,19,0.33
21183,58,0.38
21185,833,0.34
21187,21,0.41
21189,11,0.51
21191,52,0.42
21193,116,0.41
21195,226,0.33
21197,27,0.42
21199,206,0.35
21201,5,0.34
21203,30,0.45
21205,235,0.35
21207,60,0.5
21209,348,0.28
21211,251,0.3
21213,36,0.24
21215,86,0.28
21217,140,0.37
21219,43,0.26
21221,58,0.37
21223,27,0.27
21225,56,0.27
21227,1004,0.27
21229,35,0.31
21231,38,0.35
21233,35,0.28
21235,154,0.42
21237,23,0.42
21239,168,0.26
22001,105,0.26
22003,36,0.28
22005,422,0.26
22007,25,0.04
22009,82,0.29
22011,78,0.32
22013,13,0.2
22015,435,0.26
22017,980,0.2
22019,483,0.28
22021,7,0.34
22023,4,0.69
22025,5,0.27
22027,9,0.05
22029,27,0.1
22031,64,0.27
22033,2635,0.22
22035,6,0.03
22037,24,0.16
22039,52,0.27
22041,39,0.23
22043,28,0.31
22045,128,0.28
22047,78,0.24
22049,14,0.18
22051,1786,0.25
22053,44,0.31
22055,1122,0.27
22057,161,0.3
22059,13,0.34
22061,161,0.21
22063,321,0.34
22065,7,-0.0
22067,41,0.02
22069,104,0.24
22071,5242,0.17
22073,307,0.18
22075,70,0.33
22077,42,0.34
22079,385,0.26
22081,7,0.57
22083,22,0.29
22085,19,0.21
22087,97,0.28
22089,185,0.24
22091,11,0.26
22093,38,0.1
22095,94,0.1
22097,160,0.24
22099,72,0.16
22101,67,0.28
22103,949,0.29
22105,374,0.26
22107,1,0.14
22109,165,0.26
22111,13,0.38
22113,89,0.27
22115,88,0.26
22117,46,0.26
22119,66,0.3
22121,117,0.11
22123,31,0.23
22125,37,0.21
22127,18,0.21
23001,643,0.26
23003,180,0.29
23005,3866,0.26
23007,149,0.26
23009,350,0.22
23011,755,0.32
23013,217,0.29
23015,229,0.23
23017,206,0.24
23019,947,0.29
